company_name,industry,dt_ym,ct_1st,ct_2nd,job_req_noun,job_add_noun,job_due_noun,title
바비톡,"IT, 컨텐츠",2023-12,Management & Business,Data Analyst,"['경력', '이상', '실력', '주제', '별', '데이터', '분석', '가설', '수립', '성장', '실험', '데이터', '분석', '관련', '이해도', '빅데이터', '핸들링', '코호트', '분석', '테스트', '분석', '분석', '방법론', '이해', '실무', '적용', '모바일', '서비스', '데이터', '분석', '방법', '수준', '이해', '로그', '분석', '툴', '사용']","['조직', '데이터', '시각', '활용', '데이터', '분석', '이해도', '활용', '데이터', '적재', '가공', '이해도']","['소속', '소개', '코어', '사일로', '코어', '사일', '바비', '톡', '목표', '부', '스팅', '발굴', '바비', '톡', '사용자', '행동', '관찰', '앱', '내의', '행동', '데이터', '리서치', '사용자', '상담', '신청', '미리', '결제', '후기', '생', '상승', '서비스', '사일로', '의사결정', '정량', '수치', '분석', '결과', '제공', '주요', '코어', '사일로', '의사결정', '정량', '수치', '분석', '결과', '제공', '구성원', '전달', '대시보드', '리포트', '구성', '목표', '지표', '성장', '위', '임팩트', '가설', '설정', '검증', '위', '테스트', '실험', '설계', '결과', '분석', '전달', '서비스', '전사', '방향', '결정', '전략', '역할', '수행', '유저', '플로우', '분석', '협업', '통해', '개선', '점', '도출', '팀', '협업', '통해', '비즈니스', '문제', '정의', '해결', '위', '가설', '수립', '기본', '사일로', '서비스', '제품', '분석', '전사', '차원', '관점', '제품', '효율', '비용', '비즈니스', '프로세스', '평가', '제품', '간', '영향', '개선', '성장', '방향성', '프로젝트', '우선', '순위', '솔루션', '제공', '환경', '구축', '활용', '데이터', '조회', '가공', '사용', '사용', '서비스', '주요', '지표', '성과', '분석', '공유', '핵', '활용', '테스트', '진행']",Data Analyst (Middle)
세이지리서치,"전문, 과학기술",2023-03,IT,QA,"['이상', '소프트웨어', '경력', '소프트웨어', '개발', '수명', '주기', '품질', '보증', '전략', '수립', '수행', '테스트', '방법론', '적용', '지속', '업데이트', '서비스', '개발', '언어', '사용', '테스트', '자동화', '스크립트', '작성']","['대규모', '응용', '프로그램', '배포', '데이터', '쿼리', '로그', '오류', '분석', '협업', '도구', '사용', '기술', '트렌드', '관심', '기계', '학습', '도메인', '대해', '이해']","['세이지', '리서치', '서비스', '제품', '품질', '테스트', '배포', '관리', '제품', '외관', '검사', '솔루션', '딥', '러닝', '이용', '제조업', '검사', '솔루션', '이미지', '분류', '대상', '물체', '감지', '기능', '수행', '제공', '언어', '라이브러리', '형태', '제공', '제품', '영상', '이상', '감지', '솔루션', '제품', '생산', '공정', '실시간', '모니터링', '공정', '이상', '발견', '솔루션', '영상', '데이터', '주로', '제품', '생산', '공정', '통합', '관제', '화면', '포함', '프로세스', '수립', '운영', '서비스', '플로우', '시나리오', '기반', '테스트', '케이스', '작성', '실행', '요구사항', '디자인', '개발', '문서', '리뷰', '피드백', '개선', '테스트', '기법', '툴', '활용', '기능', '비', '기능', '테스트']",Quality Assurance Engineer (QA Engineer)
프리오라에스씨에이,"판매, 유통",2023-12,Marketing & Advertising,Social Marketer,"['품질', '콘텐츠', '지속', '개발', '콘텐츠', '노출', '중요성', '이해', '직무', '열정', '브랜드', '내야', '목표', '가지']","['타월', '생활용품', '브랜드', '바이럴', '실', '행사', '개인', '블로그', '운영', '구글드라이브', '스마트', '워킹', '툴', '활용', '무조건', '고용', '형태', '정규직', '수습', '기간', '개월', '급여', '지급', '근무시간', '지역', '서울시', '서대문구', '거북', '골로', '길', '신진', '빌딩', '층', '프리', '오라', '에스', '에이']","['브랜디', '드', '채널', '콘텐츠', '제작', '운영', '브랜드', '옹호', '콘첸츠', '제작', '발행', '콘텐츠', '소스', '촬영', '보정', '콘텐츠', '상위', '노출', '관리', '체험', '단', '디비', '수급', '관리', '브랜드', '여론', '관리', '카페', '커뮤니티', '외주', '실', '행사', '핸들링']",[바이럴마케팅] 콘텐츠 기획 & 제작 (1년 이상)
프리오라에스씨에이,"판매, 유통",2023-12,Marketing & Advertising,Social Marketer,"['품질', '콘텐츠', '지속', '개발', '콘텐츠', '노출', '중요성', '이해', '직무', '열정', '브랜드', '내야', '목표', '가지']","['타월', '생활용품', '브랜드', '바이럴', '실', '행사', '개인', '블로그', '운영', '구글드라이브', '스마트', '워킹', '툴', '활용', '무조건', '고용', '형태', '정규직', '수습', '기간', '개월', '급여', '지급', '근무시간', '지역', '서울시', '서대문구', '거북', '골로', '길', '신진', '빌딩', '층', '프리', '오라', '에스', '에이']","['브랜디', '드', '채널', '콘텐츠', '제작', '운영', '브랜드', '옹호', '콘첸츠', '제작', '발행', '콘텐츠', '소스', '촬영', '보정', '콘텐츠', '상위', '노출', '관리', '체험', '단', '디비', '수급', '관리', '브랜드', '여론', '관리', '카페', '커뮤니티', '외주', '실', '행사', '핸들링']",[바이럴마케팅] 콘텐츠 기획 & 제작 (신입)
프리오라에스씨에이,"판매, 유통",2023-12,Customer Service,MD,"['경력', '이상', '자신', '파이프라인', '정밀', '구축', '상품', '채널', '파악', '목표', '매출', '달성', '직무', '열정', '브랜드', '내야', '목표', '가지']","['타월', '생활용품', '브랜드', '별', '관리자', '활용', '구글드라이브', '스마트', '워킹', '툴', '활용', '무조건', '고용', '형태', '정규직', '수습', '기간', '개월', '급여', '지급', '근무시간', '지역', '서울시', '서대문구', '거북', '골로', '길', '신진', '빌딩', '층', '프리', '오라', '에스', '에이']","['스마트', '스토어', '외부', '행사', '기획', '부킹', '운영', '오프라인', '판매', '처', '입점', '영업', '상품', '등록', '코드', '관리', '전용', '상품', '기획', '개발', '담당', '손님', '여정', '개선', '안', '도출', '반영', '별', '매출', '정산', '관리', '별', '담당자', '커뮤니케이션', '도착', '보장', '로켓', '로스', '재고', '관리']",온라인 쇼핑몰 MD 머천다이즈 이노베이터
프리오라에스씨에이,"판매, 유통",2023-12,Customer Service,CS Advisor,"['경력', '무관', '어드민', '사방', '넷', '활용', '주요', '타겟', '기혼', '여성', '심리', '공감', '데', '직무', '열정', '브랜드', '내야', '목표', '가지']","['경력', '구글드라이브', '스마트', '워킹', '툴', '활용']","['유선', '게시판', '채팅', '응대', '제작', '제품', '자수', '주문', '인', '입건', '컨설팅', '어드민', '활용', '주문', '수집', '상품', '매칭', '알림', '톡', '유지', '보수', '관리', '신규', '기획', '도입']",쇼핑몰 CS/CX 담당자 (1년 이상)
프리오라에스씨에이,"판매, 유통",2023-12,Customer Service,CS Advisor,"['경력', '무관', '어드민', '사방', '넷', '활용', '주요', '타겟', '기혼', '여성', '심리', '공감', '데', '직무', '열정', '브랜드', '내야', '목표', '가지']","['경력', '구글드라이브', '스마트', '워킹', '툴', '활용']","['유선', '게시판', '채팅', '응대', '제작', '제품', '자수', '주문', '인', '입건', '컨설팅', '어드민', '활용', '주문', '수집', '상품', '매칭', '알림', '톡', '유지', '보수', '관리', '신규', '기획', '도입']",쇼핑몰 CS/CX 담당자 (신입)
제이앤케이사이언스,제조,2023-12,Marketing & Advertising,Account Executive,"['집행', '경력', '정성', '정량', '데이터', '차이', '인지', '해석', '데이터', '기반', '가설', '수립', '검증', '실험', '직접', '리딩', '별', '주요', '지표', '설정', '광고', '집행', '제품', '개발', '모든', '과정', '참여']","['미디어', '커머스', '분야', '동일', '경력', '콘텐츠', '제작', '도', '활용', '데이터', '조회', '추출', '거나', '쿼리', '생', '자신', '운영', '노하우', '데이터', '관련', '운영']","['자사', '브랜드', '양적', '질적', '향상', '위해', '실행', '모든', '진행', '데이터', '기반', '기획', '운영', '파트너', '행사', '커뮤니케이션', '관리']",디지털마케터 사본
플레져,"IT, 컨텐츠",2023-12,IT,Java Developer,"['공학', '계열', '전공자', '컴퓨터공학', '수학', '통계학', '프레임워크', '활용', '개발', '경력', '이상', '이하', '언어', '작성', '기반', '웹', '어플리케이션', '개발', '경력', '이상', '프레임워크', '이해도', '프레임워크', '이용', '개발', '오픈소스', '기반', '분산', '환경', '아키텍처', '구축', '운영', '프레임워크', '활용', '개발', '환경', '구성', '클라우드', '환경', '형상관리', '시스템', '사용', '사용', '서비스', '개발', '운영']","['프로젝트', '분석', '설계', '리딩', '핀', '테크', '예약', '서비스', '기술', '트렌드', '지속', '관심', '개발', '자체', '기술', '지식', '공유', '현재', '개선', '점', '고민', '서비스', '목표', '이해', '바탕', '가지', '임']","['회사', '내', '자체', '폼', '운영', '개발', '정부', '과제', '개발', '참여', '플랫폼', '구축', '설계', '아키텍처', '설계', '연동', '신규', '개발', '합류', '여정', '서류', '전형', '차', '실무', '진', '면접', '차', '임원', '면접', '필요시', '처우', '협의', '최종', '합격', '서류', '합격자', '연락', '채용', '후', '개', '월간', '습기', '처우', '동일', '지원', '시', '제출', '이력서', '수행', '포지션', '사용', '언어', '기여', '기재', '문제', '해결', '가치', '제공', '포트폴리오']",Full-Stack Developer(4년차 이상)
플레져,"IT, 컨텐츠",2023-12,IT,DevOps / System Admin,"['공학', '계열', '전공자', '컴퓨터공학', '수학', '통계학', '프레임워크', '활용', '개발', '경력', '이하', '언어', '설계', '개발', '기획', '요구사항', '고려', '데이터', '모델링', '설계', '개발', '클라우드', '기반', '개발', '서비스', '운영', '형상관리', '협업', '도구', '사용']","['아키텍처', '개발', '운영', '용량', '트래픽', '처리', '이해', '메시지', '큐', '시스템', '머신', '러닝', '딥', '러닝', '프로세스', '지원', '프로그램', '개발', '딥', '러닝머신', '러닝', '기술', '활용', '이미지', '텍스트', '기반', '알고리즘', '설계', '연구', '기술', '트렌드', '지속', '관심', '개발', '자체', '기술', '지식', '공유', '현재', '개선', '점', '고민', '서비스', '목표', '이해', '바탕', '가지', '임']","['회사', '내', '자체', '폼', '운영', '개발', '대형', '트래픽', '무', '중단', '서버', '운영', '구축', '기반', '플랫폼', '개발', '운영', '합류', '여정', '서류', '전형', '차', '실무', '진', '면접', '차', '임원', '면접', '필요시', '처우', '협의', '최종', '합격', '서류', '합격자', '연락', '채용', '후', '개', '월간', '습기', '처우', '동일', '지원', '시', '제출', '이력서', '수행', '포지션', '사용', '언어', '기여', '기재', '문제', '해결', '가치', '제공', '포트폴리오', '사용', '백엔드', '기술', '이상', '자주', '사용', '협업', '커뮤니케이션']",Back-End Developer(3년 이상)
