company_name,category,job_req_noun,job_add_noun,job_due_noun,title
셀렉트스타,MLE,"['프로젝트', '구현', '코드', '작성', '본인', '아이디어', '구체화', '이론', '실험', '증명', '최신', '논문', '데', '어려움', '의사소통']","['컴퓨터공학', '분야', '학사', '학위', '실무', '분야', '석사', '학위', '결합', '보신', '생', '성형', '언어', '모델', '상용', '프로덕트', '개발', '수상']","['셀렉', '트', '스타', '팀', '최신', '모델', '기획', '도메인', '특화', '챗봇', '구축', '상용', '프로', '덕트', '레벨', '기술', '개발', '고민', '또한', '팀', '연구', '데', '우리', '기술', '실제', '생산', '적용', '세상', '더욱', '목표', '가지', '언어', '장벽', '허물', '세상', '지원', '담당', '특정', '도메인', '문서', '구현', '기술', '고객', '사의', '문서', '내', '정보', '추출', '추출', '정보', '답변', '고도화', '오픈소스', '오픈소스', '모델', '특정', '도메인', '학습', '기획', '모델', '튜닝', '모델', '오픈소스', '케스트', '레이', '션', '질의', '수준', '기능', '채택', '비용', '효율', '생산', '시스템', '개발', '자동화', '학습', '파이프', '라인', '구축', '채용', '절차', '서류', '전형', '직무', '컬쳐', '핏', '면접', '처우', '협의', '최종', '합격', '이력서', '포트폴리오', '파일', '제출', '계정', '기술', '블로그', '포트폴리오', '정보', '작성', '추가', '제출', '서류', '제출']",AI NLP 연구원
휴톰,MLE,"['전공', '학사', '학위', '소지', '개발', '유', '딥', '러닝', '라이브러리', '개발', '유']","['석', '박사학위', '소지', '업계', '경력', '학회', '논문', '작성', '제출', '수술', '영상', '의료', '영상', '연구', '유', '학회', '분야', '학회', '린지', '상위', '랭크']","['사내', '제품', '모델', '개발', '실험', '진행', '최신', '논문', '내부', '개발', '모델', '기술', '개발', '영역']",Computer Vision Applied Research Engineer
셀렉트스타,MLE,"['기술', '스택', '연구', '실험', '결과', '체계', '문서', '커뮤니케이션', '문제', '정의', '프로덕트', '방향성', '논의']","['생', '성형', '분석', '딥', '러닝', '모델', '프로', '덕트', '개발', '최신', '기술', '트렌드', '연구', '논문', '지속', '학습', '인사이트']","['사업', '파트', '셀렉', '트', '스타', '사업', '파트', '생', '성형', '인공', '지능', '기술', '캐릭터', '사용자', '실시간', '영상통화', '앱', '서비스', '개발', '사업', '파트', '프로덕트', '적용', '기술', '리서치', '응용', '방안', '고민', '능동', '문제', '정의', '기술', '해결', '방안', '시도', '엔지니어', '사업', '파트', '지원', '담당', '생', '성형', '연구', '개발', '프롬', '프트', '엔지니어링', '사용자', '향상', '기술', '리서치', '시험', '개발', '기술', '성능', '모니터링', '성능', '최적화', '채용', '절차', '서류', '전형', '직무', '컬쳐', '핏', '면접', '처우', '협의', '최종', '합격', '이력서', '파일', '제출', '계정', '기술', '블로그', '포트폴리오', '정보', '작성', '추가', '제출', '서류', '제출']",AI 엔지니어 (신사업파트)
피매치,MLE,"['경력', '종업', '서비스', '개발', '운영', '용량', '딥', '러닝', '프레임워크', '개발']","['헬', '스케', '분야', '자연어', '생', '모델', '개발', '최신', '영문', '논문', '분석', '재현', '데']","['사전', '학습', '모델', '의료', '도메인', '미세', '조정', '챗봇', '고도화', '사용자', '대화', '챗봇', '시스템', '설계', '구현', '개인맞춤', '건강', '기능', '식품', '추천', '전후', '처리', '아키텍쳐', '알고리듬', '고도화']",AI 엔지니어
크라우드웍스,MLE,"['프론트엔드', '개발', '경력', '경력', '개', '라이브러리', '머신', '러닝', '인공', '지능', '서비스', '관심']","['성능', '최적화', '프로젝트', '애자', '일과', '스크럼', '문화', '개발', '환경']","['서비스', '솔루션', '개발', '레이블', '링', '션', '최적화', '도구', '개발']",Frontend Engineer (ML Service)
씨드로닉스,MLE,"['개발', '알고리즘', '개발', '전공', '석사', '경력', '커뮤니케이션']","['개발', '소프트웨어', '개발', '센서', '처리']","['이미지', '인식', '기술', '인공', '지능', '알고리즘', '연구개발', '모델', '연구', '인공', '지능', '모델', '경량']",Deep learning(이미지) 연구/개발
틸다,MLE,"['학력', '별도', '지원', '개발', '연구']","['학력', '전공', '수학', '통계학', '전공', '해당', '학과', '박사', '학위', '개발', '연구', '숙련', '우수', '기록', '개인', '단체', '연구', '정부', '과제', '기업', '프로젝트']","['신규', '도메인', '개척', '선봉', '도메인', '문제', '접', '때', '수령', '고객', '요구', '사항', '정의', '분석', '문제', '해결', '설계', '진행', '설계', '후', '수준', '예측', '분류', '모델', '최적화', '모델', '개발', '시행', '개발', '수준', '최적화', '실제', '현장', '해당', '도메인', '현장', '인원', '소통', '질', '서비스', '개발', '시', '사내', '서비스', '개발', '팀', '협력', '개발', '정부', '과제', '개발', '공급', '기업', '수요', '기업', '정부', '과제', '상세', '내용', '면접', '진행', '시', '회사', '소개', '문답', '질의']",ML/DL 엔지니어 [선행ML개발파트]
클라모스,MLE,"['요건', '석사', '학위', '경력', '학사', '학위', '프로젝트', '개발', '가능']","['사항', '가능', '논문', '특허', '작성', '배포']","['담당', '분야', '선행', '기술', '조사', '연구', '알고리즘', '개발', '특허', '기술', '문서', '작성']",컴퓨터 비전 & 딥러닝 개발자
마키나락스,MLE,"['산업', '프로젝트', '기계학습', '개념', '코드', '형태', '실제', '문제', '적용', '자료구조', '알고리즘', '기본', '지식']","['제조', '에너지', '실제', '문제', '해결', '개발', '모델', '실제', '운영', '서비스', '배포', '분석', '기계학습', '프로젝트', '과정', '체계', '분석', '기계학습', '프로젝트', '기술', '리드', '마키', '락스', '채용', '프로세스', '서류', '접수', '온라인', '코딩', '테스트', '기술', '인터뷰', '인터뷰']","['팀', '제조', '에너지', '분야', '발생', '문제', '기술', '이용', '체계', '해결', '책', '도출', '실증', '검증', '검증', '기술', '지속', '개선', '운영', '형태', '현장', '배포', '실', '적용', '성공', '사례', '지속', '기술', '개발', '배포', '운영', '개선', '전체', '과정', '효율', '체계', '개선', '풀', '주요', '탐지', '예측', '과제', '소개', '탐지', '산업', '용', '로봇', '탐지', '반도체', '생산', '장비', '탐지', '탐지', '모델', '운영', '예측', '전기차', '배터리', '잔존', '수명', '예측', '태양광', '발', '전량', '예측']",머신러닝 엔지니어
에프앤가이드,MLE,"['학사', '최신', '금융', '딥', '러닝', '논문', '구현', '머신', '러닝', '프레임워크', '실무', '적용', '중상']","['컴퓨터공학', '사이언스', '석사', '학위', '자연어', '처리', '경력', '금융', '분야', '실무', '금융', '자격증', '소지', '금융', '전략', '운용', '클라우드', '서비스', '개발', '운영', '개념', '이용', '서비스', '적용']","['비정', '금융', '분석', '모델', '연구개발']",AI팀 (비정형 금융 분석 모델 연구/개발)
